ActivityID,Name,Location,Type,Cost,Duration,Rating
1,Louvre Museum_1,Tokyo,Outdoor,78,7,3.3
2,Tokyo Skytree_2,Paris,Cultural,56,5,3.7
3,Central Park_3,Rome,Historical,49,8,4.3
4,Ueno Zoo_4,London,Historical,102,2,3.8
5,Colosseum_5,London,Family-friendly,31,8,4.0
6,Sydney Opera House_6,New York,Scenic,103,4,4.6
7,Sagrada Familia_7,Tokyo,Scenic,0,4,4.5
8,Grand Palace_8,Cape Town,Cultural,188,3,4.7
9,Table Mountain_9,Tokyo,Historical,108,4,3.7
10,Christ the Redeemer_10,Rio de Janeiro,Historical,190,7,4.1
11,Eiffel Tower_11,Barcelona,Scenic,51,6,4.6
12,Shinjuku Gyoen_12,Paris,Cultural,15,2,4.3
13,Statue of Liberty_13,Paris,Historical,44,6,3.9
14,British Museum_14,Tokyo,Scenic,92,2,4.7
15,Pantheon_15,London,Family-friendly,141,7,3.2
16,Louvre Museum_16,London,Historical,60,5,3.8
17,Tokyo Skytree_17,Cape Town,Scenic,99,3,4.4
18,Central Park_18,Rio de Janeiro,Cultural,191,1,4.7
19,Ueno Zoo_19,Paris,Outdoor,183,2,5.0
20,Colosseum_20,Cape Town,Outdoor,97,1,4.6
21,Sydney Opera House_21,London,Historical,140,5,3.6
22,Sagrada Familia_22,Cape Town,Historical,38,2,3.5
23,Grand Palace_23,Barcelona,Outdoor,172,3,4.3
24,Table Mountain_24,London,Cultural,72,2,4.0
25,Christ the Redeemer_25,Bangkok,Historical,14,1,4.1
26,Eiffel Tower_26,Rio de Janeiro,Scenic,98,5,5.0
27,Shinjuku Gyoen_27,Rome,Historical,195,5,4.6
28,Statue of Liberty_28,Paris,Historical,53,8,3.8
29,British Museum_29,New York,Family-friendly,189,7,3.3
30,Pantheon_30,Barcelona,Scenic,132,4,3.1
31,Louvre Museum_31,Sydney,Scenic,161,6,3.9
32,Tokyo Skytree_32,Rome,Historical,59,1,4.0
33,Central Park_33,New York,Historical,73,6,3.9
34,Ueno Zoo_34,London,Historical,185,1,5.0
35,Colosseum_35,Sydney,Historical,111,4,4.8
36,Sydney Opera House_36,Tokyo,Outdoor,108,4,4.0
37,Sagrada Familia_37,Tokyo,Family-friendly,16,5,3.3
38,Grand Palace_38,Barcelona,Outdoor,27,3,3.8
39,Table Mountain_39,Tokyo,Scenic,125,8,4.6
40,Christ the Redeemer_40,Sydney,Family-friendly,73,2,4.2
41,Eiffel Tower_41,Sydney,Historical,159,1,4.9
42,Shinjuku Gyoen_42,Rio de Janeiro,Scenic,92,6,4.2
43,Statue of Liberty_43,Rome,Historical,58,1,3.1
44,British Museum_44,Paris,Scenic,134,1,4.0
45,Pantheon_45,Bangkok,Historical,113,8,3.1
46,Louvre Museum_46,Cape Town,Scenic,103,2,3.4
47,Tokyo Skytree_47,Tokyo,Outdoor,118,8,4.9
48,Central Park_48,Barcelona,Scenic,145,2,4.0
49,Ueno Zoo_49,Tokyo,Family-friendly,133,4,4.7
50,Colosseum_50,Cape Town,Historical,152,6,4.1
51,Sydney Opera House_51,Rome,Outdoor,115,7,3.5
52,Sagrada Familia_52,Rio de Janeiro,Outdoor,161,3,4.9
53,Grand Palace_53,Sydney,Cultural,105,8,4.7
54,Table Mountain_54,Rio de Janeiro,Cultural,77,6,4.3
55,Christ the Redeemer_55,London,Historical,72,5,3.8
56,Eiffel Tower_56,Tokyo,Scenic,53,3,3.7
57,Shinjuku Gyoen_57,Paris,Cultural,59,5,3.2
58,Statue of Liberty_58,London,Family-friendly,22,4,3.9
59,British Museum_59,Rome,Family-friendly,179,2,4.6
60,Pantheon_60,Tokyo,Scenic,42,7,4.3
61,Louvre Museum_61,London,Family-friendly,80,4,3.7
62,Tokyo Skytree_62,Tokyo,Historical,70,3,3.7
63,Central Park_63,Barcelona,Family-friendly,125,6,3.1
64,Ueno Zoo_64,Rome,Cultural,172,5,5.0
65,Colosseum_65,Bangkok,Cultural,95,1,4.7
66,Sydney Opera House_66,Sydney,Outdoor,97,5,4.5
67,Sagrada Familia_67,New York,Outdoor,4,4,3.0
68,Grand Palace_68,Sydney,Scenic,141,7,4.1
69,Table Mountain_69,Sydney,Scenic,5,6,3.2
70,Christ the Redeemer_70,London,Outdoor,5,2,4.5
71,Eiffel Tower_71,Rome,Cultural,116,2,3.6
72,Shinjuku Gyoen_72,Tokyo,Cultural,158,3,4.3
73,Statue of Liberty_73,Rio de Janeiro,Family-friendly,57,4,4.2
74,British Museum_74,New York,Scenic,174,8,3.1
75,Pantheon_75,Cape Town,Scenic,120,1,3.2
76,Louvre Museum_76,London,Historical,101,2,3.2
77,Tokyo Skytree_77,New York,Cultural,43,6,4.9
78,Central Park_78,Bangkok,Family-friendly,46,1,4.2
79,Ueno Zoo_79,Barcelona,Cultural,72,3,3.9
80,Colosseum_80,Rome,Historical,31,5,4.1
81,Sydney Opera House_81,Cape Town,Outdoor,78,4,3.7
82,Sagrada Familia_82,London,Historical,160,5,4.3
83,Grand Palace_83,Sydney,Outdoor,18,1,3.2
84,Table Mountain_84,Paris,Family-friendly,158,7,4.9
85,Christ the Redeemer_85,London,Scenic,137,8,4.3
86,Eiffel Tower_86,Paris,Family-friendly,183,8,4.4
87,Shinjuku Gyoen_87,Sydney,Historical,26,2,4.9
88,Statue of Liberty_88,Barcelona,Cultural,187,6,3.6
89,British Museum_89,Rome,Outdoor,13,5,4.9
90,Pantheon_90,Tokyo,Scenic,198,4,3.1
91,Louvre Museum_91,London,Cultural,37,2,3.2
92,Tokyo Skytree_92,Rio de Janeiro,Scenic,80,2,3.5
93,Central Park_93,Sydney,Family-friendly,4,6,3.3
94,Ueno Zoo_94,London,Cultural,126,1,3.7
95,Colosseum_95,Bangkok,Historical,200,8,4.9
96,Sydney Opera House_96,Barcelona,Family-friendly,137,5,4.0
