ParticipantID,Interface,InputType,Input,DwellTime,Clicks,SUS,NASA_TLX,TimeToFinalize,Iterations,Satisfaction
1,Conversational,Text,Max cost $300,12.3,3,81.4,38.3,16.5,6.2,3.6
1,Form-based,Slider,Scenic views in Sydney,7.4,3,89.8,39.0,12.5,4.3,3.7
1,Hybrid,Text+Dropdown,Add outdoor activities; Duration ≤ 2h,13.4,2,87.5,19.9,9.0,2.6,4.1
2,Conversational,Text,Free activities in London,8.1,3,71.2,30.4,18.4,3.9,3.8
2,Form-based,Slider,Budget ≤ $500,7.9,2,76.0,35.4,11.1,4.1,3.6
2,Hybrid,Text+Dropdown,Budget-friendly Paris trip,8.6,5,82.5,37.6,11.8,2.2,5.0
3,Conversational,Text,Budget-friendly Paris trip,13.7,5,79.3,27.1,11.7,4.5,4.3
3,Form-based,Slider,Make it family-friendly,11.7,4,78.7,33.1,10.4,2.9,3.7
3,Hybrid,Text+Dropdown,Budget-friendly Paris trip,14.3,2,88.1,20.6,12.3,2.7,4.3
4,Conversational,Text,Budget ≤ $500,16.5,4,85.3,45.0,12.9,3.8,4.0
4,Form-based,Slider,Max cost $300,12.5,1,76.4,33.8,11.2,2.4,4.5
4,Hybrid,Text+Dropdown,Add outdoor activities; Duration ≤ 2h,17.2,3,85.7,33.6,12.4,2.5,4.8
5,Conversational,Text,Add outdoor activities; Duration ≤ 2h,12.1,4,77.5,48.9,8.6,5.3,3.9
5,Form-based,Slider,Romantic dinner in Rome,7.2,1,80.1,23.9,13.0,4.1,4.9
5,Hybrid,Text+Dropdown,Make it family-friendly,14.0,5,81.3,26.5,13.3,3.3,4.3
6,Conversational,Text,Free activities in London,8.0,5,78.5,45.2,13.2,3.8,3.5
6,Form-based,Slider,Make it family-friendly,7.5,3,81.4,36.2,13.5,3.4,3.2
6,Hybrid,Text+Dropdown,Add outdoor activities; Duration ≤ 2h,12.9,4,84.1,25.1,11.5,3.3,5.5
7,Conversational,Text,Add outdoor activities; Duration ≤ 2h,21.7,4,79.7,38.7,10.3,4.2,3.8
7,Form-based,Slider,Budget-friendly Paris trip,10.8,2,78.2,36.5,13.4,2.4,4.7
7,Hybrid,Text+Dropdown,Free activities in London,19.2,4,90.8,24.6,14.0,1.9,4.9
8,Conversational,Text,Budget ≤ $500,13.3,4,70.6,35.7,15.1,3.5,2.7
8,Form-based,Slider,Budget-friendly Paris trip,7.8,2,72.6,37.4,11.6,5.4,3.5
8,Hybrid,Text+Dropdown,Add outdoor activities; Duration ≤ 2h,13.0,2,90.9,23.1,12.2,4.0,3.8
9,Conversational,Text,Max cost $300,14.1,4,79.7,44.0,11.9,2.5,4.2
9,Form-based,Slider,Add outdoor activities; Duration ≤ 2h,6.7,2,81.1,36.7,12.1,4.0,4.2
9,Hybrid,Text+Dropdown,Budget ≤ $500,14.8,2,97.1,31.1,9.9,3.5,4.1
10,Conversational,Text,Budget ≤ $500,19.7,1,86.3,34.1,17.2,4.7,4.4
10,Form-based,Slider,Add outdoor activities; Duration ≤ 2h,9.7,1,77.9,30.7,11.6,2.8,4.0
10,Hybrid,Text+Dropdown,Add outdoor activities; Duration ≤ 2h,20.8,4,87.7,32.8,11.8,4.2,4.5
11,Conversational,Text,Scenic views in Sydney,15.6,1,82.4,33.9,12.3,4.8,3.6
11,Form-based,Slider,Add outdoor activities; Duration ≤ 2h,11.1,4,82.6,34.4,11.7,2.0,3.7
11,Hybrid,Text+Dropdown,Scenic views in Sydney,12.9,5,87.4,23.0,12.1,3.3,4.2
12,Conversational,Text,Budget ≤ $500,16.8,5,78.2,32.1,15.8,4.9,4.6
12,Form-based,Slider,Max cost $300,19.5,3,70.5,29.6,14.6,4.3,4.3
12,Hybrid,Text+Dropdown,Scenic views in Sydney,14.8,5,89.5,34.2,13.3,3.5,4.4
13,Conversational,Text,Budget-friendly Paris trip,6.6,4,72.2,37.7,13.7,4.3,5.4
13,Form-based,Slider,Make it family-friendly,5.7,3,84.0,25.9,12.5,4.9,4.0
13,Hybrid,Text+Dropdown,Romantic dinner in Rome,10.4,4,81.9,32.1,10.6,3.2,4.6
14,Conversational,Text,Free activities in London,16.1,5,93.5,43.1,10.0,4.4,3.3
14,Form-based,Slider,Cultural activities in Tokyo,7.8,4,74.3,34.2,14.6,4.7,3.3
14,Hybrid,Text+Dropdown,Add outdoor activities; Duration ≤ 2h,15.2,5,83.3,25.8,14.6,3.3,4.0
15,Conversational,Text,Budget ≤ $500,10.6,1,93.3,45.6,11.3,3.6,4.7
15,Form-based,Slider,Budget-friendly Paris trip,5.8,3,82.4,39.1,11.6,3.6,2.1
15,Hybrid,Text+Dropdown,Max cost $300,12.8,2,84.6,23.0,14.4,1.9,4.4
16,Conversational,Text,Budget-friendly Paris trip,14.7,3,88.3,30.3,17.7,4.2,3.1
